Index	TargetID	ProbeID	Hela_1.Signal_Grn	Hela_1.Signal_Red	Hela_1.Detection Pval	Hela_2.Signal_Grn	Hela_2.Signal_Red	Hela_2.Detection Pval	Raji_1.Signal_Grn	Raji_1.Signal_Red	Raji_1.Detection Pval	Raji_2.Signal_Grn	Raji_2.Signal_Red	Raji_2.Detection Pval	Jurkat_1.Signal_Grn	Jurkat_1.Signal_Red	Jurkat_1.Detection Pval	Jurkat_2.Signal_Grn	Jurkat_2.Signal_Red	Jurkat_2.Detection Pval	A431_1.Signal_Grn	A431_1.Signal_Red	A431_1.Detection Pval	A431_2.Signal_Grn	A431_2.Signal_Red	A431_2.Detection Pval	K562_1.Signal_Grn	K562_1.Signal_Red	K562_1.Detection Pval	K562_2.Signal_Grn	K562_2.Signal_Red	K562_2.Detection Pval	MCF7_1.Signal_Grn	MCF7_1.Signal_Red	MCF7_1.Detection Pval	MCF7_2.Signal_Grn	MCF7_2.Signal_Red	MCF7_2.Detection Pval
11	HYBRIDIZATION	5690110	10321	247	3.678E-38	11464	286	3.678E-38	17169	693	3.678E-38	19740	524	3.678E-38	18446	546	3.678E-38	19031	403	3.678E-38	19367	340	3.678E-38	18116	355	3.678E-38	18328	479	3.678E-38	19973	462	3.678E-38	19300	512	3.678E-38	17858	534	3.678E-38
12	NEGATIVE	50110	230	295	0.63193	289	427	0.02918117	572	640	0.2515152	357	495	0.1835261	433	468	0.1149196	349	457	0.2381989	325	305	0.2145617	218	290	0.7168447	243	503	0.2831551	241	442	0.4930336	293	445	0.1296977	441	478	0.1780977
13	NEGATIVE	360079	258	304	0.501571	135	293	0.820958	548	600	0.3495793	264	498	0.4106574	460	432	0.1294435	192	265	0.9235267	234	310	0.582177	237	348	0.4113942	251	389	0.6310637	209	429	0.6377095	253	224	0.911863	401	481	0.2438689
14	NEGATIVE	430114	161	353	0.668574	169	245	0.8544509	382	551	0.7140182	219	431	0.7309149	273	414	0.6932985	349	543	0.1075311	154	362	0.7027921	315	317	0.2386295	251	497	0.2773844	211	457	0.5421318	258	474	0.1421282	263	476	0.5753813
15	NEGATIVE	460494	145	359	0.7005516	281	191	0.6877252	318	619	0.7079677	295	427	0.529757	382	533	0.0946959	164	351	0.8584403	232	356	0.3808613	202	194	0.9584901	265	478	0.2919176	293	316	0.7226269	234	369	0.5615928	247	346	0.8627239
16	NEGATIVE	540577	163	322	0.7570999	121	281	0.8795784	365	655	0.5714583	246	259	0.9558974	295	477	0.4315642	273	390	0.5656368	152	300	0.8988919	119	393	0.7026603	186	352	0.8865855	103	349	0.9700057	247	335	0.6385403	256	373	0.8078754
17	NEGATIVE	610692	110	356	0.8073084	159	360	0.5121707	450	728	0.3017965	263	561	0.2445787	318	422	0.5329586	240	349	0.7321432	169	360	0.6486073	222	401	0.2684495	247	444	0.4592688	188	337	0.8998975	312	415	0.1530843	368	539	0.1980917
18	NEGATIVE	610706	152	383	0.5975307	141	336	0.6702463	364	611	0.6477541	185	370	0.9081255	329	362	0.6820126	179	332	0.8638717	192	361	0.5410216	150	329	0.8088955	300	351	0.5950009	284	504	0.1893363	258	297	0.729442	342	378	0.6207861
19	NEGATIVE	670750	184	260	0.8567969	132	290	0.8358651	528	402	0.7185165	255	379	0.76907	270	333	0.8799756	242	362	0.7009984	241	380	0.2462828	179	375	0.5386736	221	472	0.4524748	378	566	0.01529595	372	438	0.03499323	206	476	0.7062479
20	NEGATIVE	1190458	162	389	0.5409977	173	368	0.426892	442	729	0.3126836	403	525	0.07037779	269	440	0.6292391	273	450	0.4196235	174	214	0.9782085	275	379	0.1739779	275	387	0.5581123	329	375	0.4246392	253	413	0.3286495	415	572	0.08963542
21	NEGATIVE	1500059	299	434	0.06236632	226	440	0.08004442	510	714	0.2348882	402	286	0.6293358	341	398	0.536127	438	456	0.1052783	421	251	0.1005957	265	370	0.229108	385	435	0.1136205	380	534	0.02769507	278	313	0.6060497	293	287	0.8796027
22	NEGATIVE	1500167	182	545	0.06927622	287	390	0.06524464	507	482	0.6244913	271	346	0.8060702	320	335	0.7764696	371	482	0.1585394	206	251	0.8882418	157	179	0.9907342	265	463	0.3375068	312	351	0.5583927	193	209	0.9805386	224	298	0.9371832
23	NEGATIVE	1500398	165	258	0.8952709	194	341	0.4499809	396	372	0.9024215	481	548	0.01281475	280	210	0.9810389	342	339	0.5218657	341	315	0.1373153	287	352	0.2167508	223	307	0.899218	271	398	0.5388702	253	330	0.6349744	364	528	0.2249056
24	NEGATIVE	1660097	163	336	0.7159975	158	241	0.8853518	383	679	0.4976824	276	472	0.4519743	341	487	0.2680168	157	246	0.9608403	215	324	0.6046872	238	375	0.3036458	249	272	0.9121664	197	471	0.5421318	310	271	0.6420943	263	378	0.7869583
25	NEGATIVE	1770019	264	362	0.2836213	250	265	0.5277311	449	430	0.7893515	374	342	0.5476538	351	285	0.8190606	409	470	0.1230238	316	336	0.1477724	288	313	0.3483922	342	453	0.1602803	304	340	0.6190686	270	396	0.3286495	369	506	0.2576399
26	NEGATIVE	1940364	152	439	0.3985559	168	388	0.3704166	377	442	0.857632	279	450	0.5088035	413	398	0.3144417	301	526	0.2001867	225	289	0.7107787	215	344	0.5180699	171	302	0.961257	306	356	0.561634	233	297	0.8019723	194	496	0.6889942
27	NEGATIVE	1990692	220	594	0.01177848	208	407	0.1822517	765	961	0.001616088	264	488	0.4400959	427	510	0.06840666	309	433	0.3746994	289	390	0.08700834	277	411	0.09840669	298	588	0.03811773	271	392	0.5583927	261	405	0.3286495	486	572	0.03738156
28	NON-POLYMORPHIC	110184	21912	773	3.678E-38	23847	525	3.678E-38	21213	745	3.678E-38	24497	707	3.678E-38	27621	866	3.678E-38	28280	840	3.678E-38	25928	539	3.678E-38	25828	692	3.678E-38	27241	733	3.678E-38	27344	827	3.678E-38	27614	816	3.678E-38	24565	645	3.678E-38
29	NON-POLYMORPHIC	1740025	1242	12619	3.678E-38	1267	11792	3.678E-38	1359	10186	3.678E-38	1383	11055	3.678E-38	1669	11905	3.678E-38	1473	12189	3.678E-38	1358	12976	3.678E-38	1552	15847	3.678E-38	1381	12127	3.678E-38	1541	13048	3.678E-38	1061	9811	3.678E-38	1242	8902	3.678E-38
30	NON-POLYMORPHIC	2480348	1690	22906	3.678E-38	2112	24975	3.678E-38	1532	13635	3.678E-38	1168	13483	3.678E-38	1676	18764	3.678E-38	1628	18498	3.678E-38	1632	24050	3.678E-38	1692	25050	3.678E-38	1276	15684	3.678E-38	1412	15378	3.678E-38	1270	15884	3.678E-38	1354	16276	3.678E-38
31	NON-POLYMORPHIC	2810035	16531	451	3.678E-38	18677	395	3.678E-38	19097	836	3.678E-38	17786	840	3.678E-38	18579	642	3.678E-38	19741	550	3.678E-38	20082	519	3.678E-38	21388	606	3.678E-38	16359	559	3.678E-38	18162	441	3.678E-38	18304	465	3.678E-38	18467	436	3.678E-38
32	SPECIFICITY	3800086	249	463	0.08912059	330	389	0.02728665	536	1074	0.007521756	393	618	0.01801674	429	487	0.0933587	409	548	0.05065072	341	531	0.0001594743	318	494	0.005013551	380	446	0.1040329	405	441	0.08739325	334	506	0.01799358	466	478	0.1406989
33	SPECIFICITY	3800154	13051	1019	3.678E-38	12701	937	3.678E-38	13922	1422	3.678E-38	14956	1151	3.678E-38	16103	1355	3.678E-38	16431	917	3.678E-38	15357	1112	3.678E-38	16683	1132	3.678E-38	17364	1400	3.678E-38	15853	1254	3.678E-38	13191	855	3.678E-38	10581	766	3.678E-38
34	SPECIFICITY	4610400	356	461	0.01097357	299	523	0.001706186	585	682	0.1805775	470	668	0.0011417	687	698	2.108695E-07	512	718	0.0004606012	415	524	6.018238E-06	302	593	0.0002968859	353	532	0.03883303	514	922	2.736396E-10	408	567	0.0003626125	349	532	0.2458116
35	SPECIFICITY	4610725	1207	23986	3.678E-38	1347	23608	3.678E-38	1384	21233	3.678E-38	1361	22343	3.678E-38	1711	26288	3.678E-38	1555	25682	3.678E-38	1247	23819	3.678E-38	1231	24970	3.678E-38	1394	23214	3.678E-38	1673	26607	3.678E-38	1348	24196	3.678E-38	1356	21012	3.678E-38
36	STAINING	4200736	1167	33466	3.678E-38	1294	27325	3.678E-38	1376	27487	3.678E-38	1445	28230	3.678E-38	1524	28034	3.678E-38	1299	29397	3.678E-38	1350	26133	3.678E-38	1363	25836	3.678E-38	1239	26575	3.678E-38	1398	24757	3.678E-38	1228	26687	3.678E-38	1389	21418	3.678E-38
37	STAINING	4570020	22107	429	3.678E-38	23868	413	3.678E-38	21013	766	3.678E-38	21211	609	3.678E-38	23400	562	3.678E-38	23595	618	3.678E-38	22046	441	3.678E-38	21362	538	3.678E-38	20705	518	3.678E-38	22626	721	3.678E-38	19734	590	3.678E-38	20282	600	3.678E-38
38	STAINING	5050601	778	732	7.481515E-18	856	1077	3.678E-38	1247	1385	1.776046E-12	993	1082	3.114153E-24	1178	1349	3.678E-38	846	910	3.07323E-11	986	1144	3.678E-38	729	840	1.084559E-25	730	962	2.032517E-18	764	1308	1.484303E-30	807	728	1.662784E-18	788	1142	3.708776E-13
39	STAINING	5340168	971	469	1.42169E-15	983	527	2.615055E-22	1192	740	5.752192E-05	1233	813	2.796291E-23	1141	603	1.188581E-15	1154	778	1.272117E-14	1066	465	1.214103E-29	998	589	1.504477E-26	966	514	3.412891E-12	1055	806	1.562657E-22	985	621	3.484675E-21	1126	800	4.441523E-13
40	TARGET REMOVAL	580035	331	317	0.2206096	337	402	0.01710722	484	553	0.5417503	392	513	0.09676827	449	437	0.1398053	375	461	0.1850798	351	351	0.05193656	323	380	0.07408413	362	458	0.1136205	278	459	0.3223166	327	345	0.3083052	437	396	0.3478982
