Index	TargetID	ProbeID	Hela_1.Signal_Grn	Hela_1.Signal_Red	Hela_1.Detection Pval	Hela_2.Signal_Grn	Hela_2.Signal_Red	Hela_2.Detection Pval	Raji_1.Signal_Grn	Raji_1.Signal_Red	Raji_1.Detection Pval	Raji_2.Signal_Grn	Raji_2.Signal_Red	Raji_2.Detection Pval	Jurkat_1.Signal_Grn	Jurkat_1.Signal_Red	Jurkat_1.Detection Pval	Jurkat_2.Signal_Grn	Jurkat_2.Signal_Red	Jurkat_2.Detection Pval	A431_1.Signal_Grn	A431_1.Signal_Red	A431_1.Detection Pval	A431_2.Signal_Grn	A431_2.Signal_Red	A431_2.Detection Pval	K562_1.Signal_Grn	K562_1.Signal_Red	K562_1.Detection Pval	K562_2.Signal_Grn	K562_2.Signal_Red	K562_2.Detection Pval	MCF7_1.Signal_Grn	MCF7_1.Signal_Red	MCF7_1.Detection Pval	MCF7_2.Signal_Grn	MCF7_2.Signal_Red	MCF7_2.Detection Pval
1	BISULFITE CONVERSION	4670278	13997	661	3.678E-38	14496	738	3.678E-38	10487	1038	3.678E-38	11588	583	3.678E-38	10377	693	3.678E-38	10649	583	3.678E-38	16105	698	3.678E-38	15943	698	3.678E-38	11357	673	3.678E-38	11724	628	3.678E-38	4853	572	3.678E-38	4871	519	3.678E-38
2	BISULFITE CONVERSION	4670484	506	513	1.984073E-05	613	502	3.556756E-09	667	685	0.09863174	679	508	0.0003145338	630	487	0.001735049	622	607	0.0004708097	543	394	6.692414E-06	394	494	0.0003869653	464	426	0.03536322	515	498	0.003172768	414	491	0.003316543	340	602	0.1434784
3	BISULFITE CONVERSION	5270706	13007	578	3.678E-38	14583	575	3.678E-38	11643	1246	3.678E-38	12702	767	3.678E-38	14239	693	3.678E-38	16431	785	3.678E-38	14469	637	3.678E-38	15246	817	3.678E-38	11664	546	3.678E-38	12506	735	3.678E-38	13269	733	3.678E-38	13379	822	3.678E-38
4	BISULFITE CONVERSION	5290048	346	467	0.01205793	337	353	0.05059563	481	529	0.5887573	453	568	0.01493999	433	458	0.1311324	351	513	0.1427671	345	382	0.02764927	371	499	0.0007477652	397	426	0.1087507	374	429	0.1577825	308	358	0.3286495	384	363	0.5559216
5	EXTENSION	360446	1262	48739	3.678E-38	1226	49133	3.678E-38	1408	43856	3.678E-38	1549	47272	3.678E-38	1486	48205	3.678E-38	1357	51072	3.678E-38	1351	52515	3.678E-38	1362	46589	3.678E-38	1231	43386	3.678E-38	1486	49922	3.678E-38	1232	49523	3.678E-38	1430	49207	3.678E-38
6	EXTENSION	520537	1588	65535	3.678E-38	1498	65535	3.678E-38	1752	65535	3.678E-38	1815	65535	3.678E-38	1566	65535	3.678E-38	1689	65535	3.678E-38	1660	65535	3.678E-38	1514	65535	3.678E-38	1709	65535	3.678E-38	1945	65535	3.678E-38	2011	65535	3.678E-38	1797	65535	3.678E-38
7	EXTENSION	1190050	39316	2572	3.678E-38	46292	2545	3.678E-38	38697	2839	3.678E-38	40801	2744	3.678E-38	39684	2034	3.678E-38	44918	2711	3.678E-38	43589	2750	3.678E-38	43446	3199	3.678E-38	43095	2397	3.678E-38	44808	2716	3.678E-38	40804	2498	3.678E-38	39192	2297	3.678E-38
8	EXTENSION	2630184	65500	1656	3.678E-38	65535	1355	3.678E-38	64154	1636	3.678E-38	65535	1475	3.678E-38	65535	1656	3.678E-38	65535	1358	3.678E-38	65535	1391	3.678E-38	65535	1801	3.678E-38	65535	1288	3.678E-38	65535	1870	3.678E-38	64983	1474	3.678E-38	65154	1520	3.678E-38
9	HYBRIDIZATION	2450040	2637	371	3.678E-38	2821	321	3.678E-38	4312	564	3.678E-38	5319	486	3.678E-38	4951	551	3.678E-38	4565	425	3.678E-38	4968	390	3.678E-38	4785	430	3.678E-38	5192	508	3.678E-38	4948	501	3.678E-38	5467	487	3.678E-38	4797	666	3.678E-38
10	HYBRIDIZATION	5690072	23628	527	3.678E-38	28406	635	3.678E-38	35281	1311	3.678E-38	35989	868	3.678E-38	36220	1098	3.678E-38	37392	752	3.678E-38	36583	663	3.678E-38	34021	696	3.678E-38	39436	786	3.678E-38	36462	873	3.678E-38	39083	728	3.678E-38	38557	743	3.678E-38
